id,ticker,name,week_end,e01,e02,e03,e04,e05,e06,s01,s02,s03,s04,s05,s06,s08,s09,s10,g01,g02,g03,g04,g06,g08,m01,m02,m03,m04,esg_sum,created_at
2091127,00035.HK,远东发展,4/22/22 0:00,10,13,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,22,10,10,10,10,10,10,10,24,4/25/22 12:23
2091131,000404.SZ,长虹华意,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091132,000415.SZ,渤海租赁,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,31,4/25/22 12:23
2091143,000515.SZ,攀渝钛业,4/22/22 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/25/22 12:23
2091139,000869.SZ,张裕Ａ,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091136,00107.HK,四川成渝,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091133,002540.SZ,亚太科技,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091160,002761.SZ,浙江建投,4/22/22 0:00,10,10,12,12,12,12,10,10,10,10,10,10,10,17,10,10,28,28,20,10,31,10,10,10,10,43,4/25/22 12:23
2091153,002957.SZ,科瑞技术,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091148,00434.HK,博雅互动,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,30,10,10,10,10,30,4/25/22 12:23
2091135,00992.HK,联想集团,4/22/22 0:00,10,21,14,12,20,14,10,10,10,10,17,10,10,21,10,10,11,18,15,10,15,10,17,10,10,38,4/25/22 12:23
2091144,01076.HK,博华太平洋（新）,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091150,01393.HK,恒鼎实业,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,16,10,13,10,10,10,10,21,4/25/22 12:23
2091164,01569.HK,民生教育,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,10,10,10,10,10,10,10,25,4/25/22 12:23
2091146,01997.HK,九龙仓置业,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,11,4/25/22 12:23
2091151,02128.HK,中国联塑,4/22/22 0:00,10,18,18,14,14,13,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,27,4/25/22 12:23
2091137,03336.HK,巨腾国际,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091152,03603.HK,信基沙溪,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091128,03882.HK,天彩控股,4/22/22 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/25/22 12:23
2091129,08286.HK,长城微光,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
2091162,08395.HK,齐家控股,4/22/22 0:00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4/25/22 12:23
